invoice_number,invoice_date,total_amount,vendor_name,currency,invoice_number_length,invoice_age_days,ocr_text_length,blur_flag,failure_label
INVOICE,2008-06-05,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,6375,0,0,1
526259,1997-03-29,0.0,Address:4894 Melanie Pass Apt. 742,USD,6,10461,0,0,1
,2008-04-27,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,6414,0,0,1
,2017-01-23,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,3221,0,0,1
INVOICE,1997-02-23,86.4,Address:4894 Melanie Pass Apt. 742,USD,7,10495,0,0,0
INVOICE,2010-09-11,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,5547,0,0,1
INV47922119,2007-03-19,0.0,Address:4894 Melanie Pass Apt. 742,USD,11,6819,0,0,1
,2017-11-17,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,2923,0,0,1
,2011-08-21,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,5203,0,0,1
INVOICE,2008-06-09,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,6371,0,0,1
INV89302147,1993-11-14,0.0,Address:4894 Melanie Pass Apt. 742,USD,11,11692,0,0,1
,2019-02-11,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,2472,0,0,1
INVOICE,2009-11-11,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,5851,0,0,1
INV38857,2005-10-13,0.0,Address:4894 Melanie Pass Apt. 742,USD,8,7341,0,0,1
,1995-06-02,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,11127,0,0,1
INVOICE,2005-06-13,261.12,Address:4894 Melanie Pass Apt. 742,USD,7,7463,0,0,0
,2009-04-09,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,6067,0,0,1
,2012-10-26,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,4771,0,0,1
,2018-07-23,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,2675,0,0,1
INVOICE,2004-06-14,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,7827,0,0,1
INVOICE,2018-12-23,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,2522,0,0,1
INVOICE,2021-04-23,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,1670,0,0,1
INVOICE,2011-07-11,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,5244,0,0,1
,2018-08-26,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,2641,0,0,1
,2012-09-30,300.72,Address:4894 Melanie Pass Apt. 742,USD,3,4797,0,0,1
INVOICE,2019-07-27,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,2306,0,0,1
INVOICE,2009-07-05,0.44,Address:4894 Melanie Pass Apt. 742,USD,7,5980,0,0,0
INV45863453,2012-01-29,0.0,Address:4894 Melanie Pass Apt. 742,USD,11,5042,0,0,1
INVOICE,1999-11-06,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,9509,0,0,1
INVOICE,2011-07-28,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,5227,0,0,1
INVOICE,2008-04-14,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,6427,0,0,1
INVOICE,2009-01-14,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,6152,0,0,1
INV49020904,2019-04-17,0.0,Address:4894 Melanie Pass Apt. 742,USD,11,2407,0,0,1
INVOICE,2002-07-30,198.0,Address:4894 Melanie Pass Apt. 742,USD,7,8512,0,0,0
INVOICE,1994-12-25,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,11286,0,0,1
INVOICE,1996-12-30,298.0,Address:4894 Melanie Pass Apt. 742,USD,7,10550,0,0,0
INVOICE,2008-04-05,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,6436,0,0,1
INVOICE,2011-07-04,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,5251,0,0,1
INVOICE,2019-04-13,288.72,Address:4894 Melanie Pass Apt. 742,USD,7,2411,0,0,0
INVOICE,2021-09-30,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,1510,0,0,1
INVOICE,2011-01-21,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,5415,0,0,1
INVO2436927,2003-10-26,0.0,Address:4894 Melanie Pass Apt. 742,USD,11,8059,0,0,1
INVOICE,2008-09-26,5740.0,Address:4894 Melanie Pass Apt. 742,USD,7,6262,0,0,0
INVOICE,2020-10-06,69.0,Address:4894 Melanie Pass Apt. 742,USD,7,1869,0,0,0
INVOICE,2019-07-25,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,2308,0,0,1
INVOICE,1994-11-29,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,11312,0,0,1
,1993-05-30,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,11860,0,0,1
INVOICE,2015-06-18,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,3806,0,0,1
,2005-01-23,974.27,Address:4894 Melanie Pass Apt. 742,USD,3,7604,0,0,1
,2011-02-04,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,5401,0,0,1
,2007-09-25,95.11,Address:4894 Melanie Pass Apt. 742,USD,3,6629,0,0,1
INVOICE,2006-06-03,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,7108,0,0,1
,1997-07-31,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,10337,0,0,1
INVOICE,2005-09-05,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,7379,0,0,1
INV78926428,2011-10-17,100.88,Address:4894 Melanie Pass Apt. 742,USD,11,5146,0,0,0
INVOICE,2016-05-17,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,3472,0,0,1
INVOICE,1996-01-07,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,10908,0,0,1
INVOICE,2000-05-16,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,9317,0,0,1
INVI77,2010-06-15,0.0,Address:4894 Melanie Pass Apt. 742,USD,6,5635,0,0,1
INVOICE,2014-07-30,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,4129,0,0,1
,2006-02-28,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,7203,0,0,1
INVOICE,1993-10-02,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,11735,0,0,1
INVOICE,1998-05-03,7742.8,Address:4894 Melanie Pass Apt. 742,USD,7,10061,0,0,0
,1998-10-30,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,9881,0,0,1
INV82119267,2013-02-12,0.0,Address:4894 Melanie Pass Apt. 742,USD,11,4662,0,0,1
INVOICE,2013-04-09,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,4606,0,0,1
INVOICE,2010-03-11,161.22,Address:4894 Melanie Pass Apt. 742,USD,7,5731,0,0,0
,2003-06-30,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,8177,0,0,1
INVOICE,2015-02-06,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,3938,0,0,1
INVOICE,2020-05-11,404.21,Address:4894 Melanie Pass Apt. 742,USD,7,2017,0,0,0
711617,2003-02-07,38.59,Address:4894 Melanie Pass Apt. 742,USD,6,8320,0,0,0
INVOICE,2020-07-30,22.95,Address:4894 Melanie Pass Apt. 742,USD,7,1937,0,0,0
INV28013636,2016-04-11,28.15,Address:4894 Melanie Pass Apt. 742,USD,11,3508,0,0,0
INVOICE,2022-07-20,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,1217,0,0,1
INVOICE,2017-05-25,80.28,Address:4894 Melanie Pass Apt. 742,USD,7,3099,0,0,0
INVOICE,2008-02-06,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,6495,0,0,1
INVOICE,2007-07-14,70.13,Address:4894 Melanie Pass Apt. 742,USD,7,6702,0,0,0
INVOICE,2008-06-11,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,6369,0,0,1
INVOICE,2009-12-29,108.72,Address:4894 Melanie Pass Apt. 742,USD,7,5803,0,0,0
INVOICE,2009-04-05,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,6071,0,0,1
INVOICE,2014-06-01,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,4188,0,0,1
INVOICE,2015-10-28,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,3674,0,0,1
INVOICE,2023-01-09,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,1044,0,0,1
,2018-11-04,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,2571,0,0,1
,2010-08-17,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,5572,0,0,1
INVOICE,1994-09-16,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,11386,0,0,1
INVOICE,2014-03-20,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,4261,0,0,1
INVOICE,2015-03-25,29.23,Address:4894 Melanie Pass Apt. 742,USD,7,3891,0,0,0
INVI46,2022-09-28,0.0,Address:4894 Melanie Pass Apt. 742,USD,6,1147,0,0,1
INVOICE,2000-10-06,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,9174,0,0,1
INVOICE,1996-06-08,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,10755,0,0,1
,2001-06-10,7720.0,Address:4894 Melanie Pass Apt. 742,USD,3,8927,0,0,1
INVOICE,2020-01-30,154.08,Address:4894 Melanie Pass Apt. 742,USD,7,2119,0,0,0
,2002-05-25,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,8578,0,0,1
INVOICE,2004-07-25,48.66,Address:4894 Melanie Pass Apt. 742,USD,7,7786,0,0,0
,1997-02-02,174.18,Address:4894 Melanie Pass Apt. 742,USD,3,10516,0,0,1
,2009-07-26,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,5959,0,0,1
INV72417916,2017-04-06,0.0,Address:4894 Melanie Pass Apt. 742,USD,11,3148,0,0,1
INVOICE,1993-03-26,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,11925,0,0,1
,2004-09-05,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,7744,0,0,1
INVOICE,2012-03-10,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,5001,0,0,1
INVOICE,2004-06-25,50.9,Address:4894 Melanie Pass Apt. 742,USD,7,7816,0,0,0
INV11987254,2020-04-21,0.0,Address:4894 Melanie Pass Apt. 742,USD,11,2037,0,0,1
INVOICE,2020-02-24,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,2094,0,0,1
INVOICE,1998-10-13,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,9898,0,0,1
,2016-07-07,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,3421,0,0,1
INVOICE,2003-06-18,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,8189,0,0,1
INVOICE,2007-01-10,83.65,Address:4894 Melanie Pass Apt. 742,USD,7,6887,0,0,0
,1994-02-18,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,11596,0,0,1
INVOICE,2018-03-09,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,2811,0,0,1
INVOICE,1998-10-15,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,9896,0,0,1
INVOICE,2017-09-02,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,2999,0,0,1
INVOICE,2006-07-22,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,7059,0,0,1
INVOICE,2004-12-05,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,7653,0,0,1
INVOICE,2021-04-14,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,1679,0,0,1
INVOICE,2003-12-17,295.64,Address:4894 Melanie Pass Apt. 742,USD,7,8007,0,0,0
INVOICE,1995-08-19,9415.87,Address:4894 Melanie Pass Apt. 742,USD,7,11049,0,0,0
INVOICE,1998-10-21,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,9890,0,0,1
INVOICE,1997-04-21,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,10438,0,0,1
INVOICE,1997-07-10,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,10358,0,0,1
INV51988270,2012-01-04,0.0,Address:4894 Melanie Pass Apt. 742,USD,11,5067,0,0,1
335352,1999-05-04,9.93,Address:4894 Melanie Pass Apt. 742,USD,6,9695,0,0,0
,1997-11-27,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,10218,0,0,1
168675,1997-07-11,48.95,Address:4894 Melanie Pass Apt. 742,USD,6,10357,0,0,0
INVO5433431,2021-04-15,0.0,Address:4894 Melanie Pass Apt. 742,USD,11,1678,0,0,1
,2005-07-01,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,7445,0,0,1
INVOICE,2008-04-23,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,6418,0,0,1
INVOICE,1996-12-21,66.04,Address:4894 Melanie Pass Apt. 742,USD,7,10559,0,0,0
INVOICE,2015-01-28,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,3947,0,0,1
INVOICE,2014-08-22,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,4106,0,0,1
INVOICE,2005-09-11,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,7373,0,0,1
INVOICE,2021-10-30,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,1480,0,0,1
INVOICE,2005-02-04,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,7592,0,0,1
INVOICE,2006-12-08,88.17,Address:4894 Melanie Pass Apt. 742,USD,7,6920,0,0,0
INVOICE,2007-12-20,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,6543,0,0,1
INV37597252,1994-02-03,0.0,Address:4894 Melanie Pass Apt. 742,USD,11,11611,0,0,1
INVOICE,2015-12-22,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,3619,0,0,1
5007558,2021-07-26,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,1576,0,0,1
INVE4605523,2022-05-19,0.0,Address:4894 Melanie Pass Apt. 742,USD,11,1279,0,0,1
INVOICE,2017-06-19,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,3074,0,0,1
,2014-12-30,0.0,Address:4894 Melanie Pass Apt. 742,USD,3,3976,0,0,1
INVOICE,2014-12-14,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,3992,0,0,1
INVOICE,2000-01-01,2.48,S TAX INVOICE,USD,7,9453,0,0,1
INVOICE,1998-05-25,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,10039,0,0,1
INVOICE,2011-05-19,84.96,Address:4894 Melanie Pass Apt. 742,USD,7,5297,0,0,0
INVOICE,2010-04-20,17.53,S TAX INVOICE,USD,7,5691,0,0,0
INVOICE,2021-11-30,83.9,S INVOICE,USD,7,1449,0,0,0
INVOICE,1999-09-08,98.91,S COMMERCIAL INVOICE,USD,7,9568,0,0,0
INVOICE,1994-12-06,0.0,Address:4894 Melanie Pass Apt. 742,USD,7,11305,0,0,1
INVOICE,2007-09-24,16.86,S INVOICE,USD,7,6630,0,0,0
INVOICE,1994-06-09,97.45,S INVOICE,USD,7,11485,0,0,0
INVOICE,2004-01-15,37.89,S TAX INVOICE,USD,7,7978,0,0,0
INVOICE,2000-01-01,71.25,S COMMERCIAL INVOICE,USD,7,9453,0,0,1
INVOICE,2000-01-01,26.11,S INVOICE,USD,7,9453,0,0,1
INVOICE,2011-11-26,46.65,S COMMERCIAL INVOICE,USD,7,5106,0,0,0
INVOICE,2021-03-26,97.29,S COMMERCIAL INVOICE,USD,7,1698,0,0,0
INVOICE,2000-01-01,10.39,S INVOICE,USD,7,9453,0,0,1
INVOICE,2020-08-04,97.92,S TAX INVOICE,USD,7,1932,0,0,0
INVOICE,2000-01-01,1.65,S COMMERCIAL INVOICE,USD,7,9453,0,0,1
INVOICE,2008-04-03,95.51,S INVOICE,USD,7,6438,0,0,0
INVOICE,2004-01-23,48.43,S COMMERCIAL INVOICE,USD,7,7970,0,0,0
INVOICE,2005-06-22,99.46,S COMMERCIAL INVOICE,USD,7,7454,0,0,0
INVOICE,2000-01-01,87.58,S TAX INVOICE,USD,7,9453,0,0,1
INVOICE,2000-01-01,76.45,S TAX INVOICE,USD,7,9453,0,0,1
INVOICE,2016-12-12,23.33,S TAX INVOICE,USD,7,3263,0,0,0
INVOICE,2000-01-01,45.68,S INVOICE,USD,7,9453,0,0,1
INVOICE,2008-08-30,15.21,S TAX INVOICE,USD,7,6289,0,0,0
INVOICE,2000-01-01,0.33,S COMMERCIAL INVOICE,USD,7,9453,0,0,1
INVOICE,2000-01-01,15.41,S TAX INVOICE,USD,7,9453,0,0,1
INVOICE,2000-11-14,88.68,S COMMERCIAL INVOICE,USD,7,9135,0,0,0
INVOICE,2003-09-17,85.62,S TAX INVOICE,USD,7,8098,0,0,0
INVOICE,2019-01-15,3.13,S COMMERCIAL INVOICE,USD,7,2499,0,0,0
INVOICE,2011-02-26,67.44,S COMMERCIAL INVOICE,USD,7,5379,0,0,0
INVOICE,2010-08-31,73.77,S TAX INVOICE,USD,7,5558,0,0,0
INVOICE,2000-01-01,64.35,S TAX INVOICE,USD,7,9453,0,0,1
INVOICE,2019-10-25,45.17,S INVOICE,USD,7,2216,0,0,0
INVOICE,1993-11-06,69.01,S INVOICE,USD,7,11700,0,0,0
INVOICE,1999-07-22,72.64,S INVOICE,USD,7,9616,0,0,0
INVOICE,1999-04-25,68.56,S TAX INVOICE,USD,7,9704,0,0,0
INVOICE,2014-07-12,67.34,S INVOICE,USD,7,4147,0,0,0
INVOICE,2009-08-04,65.08,S COMMERCIAL INVOICE,USD,7,5950,0,0,0
INVOICE,2018-02-24,14.03,S COMMERCIAL INVOICE,USD,7,2824,0,0,0
INVOICE,1998-05-26,57.92,S INVOICE,USD,7,10038,0,0,0
INVOICE,2016-04-28,5.85,S COMMERCIAL INVOICE,USD,7,3491,0,0,0
INVOICE,1995-11-14,28.76,S TAX INVOICE,USD,7,10962,0,0,0
INVOICE,1999-05-09,39.95,S COMMERCIAL INVOICE,USD,7,9690,0,0,0
INVOICE,2015-06-04,79.6,S INVOICE,USD,7,3820,0,0,0
INVOICE,2008-12-28,38.83,S TAX INVOICE,USD,7,6169,0,0,0
INVOICE,1999-02-05,71.39,S INVOICE,USD,7,9783,0,0,0
INVOICE,2010-11-25,88.03,S INVOICE,USD,7,5472,0,0,0
INVOICE,2014-01-24,96.31,S TAX INVOICE,USD,7,4316,0,0,0
INVOICE,2001-06-25,29.92,S INVOICE,USD,7,8912,0,0,0
INVOICE,1997-12-12,0.05,S COMMERCIAL INVOICE,USD,7,10203,0,0,0
INVOICE,2009-06-24,88.64,S INVOICE,USD,7,5991,0,0,0
INVOICE,2007-06-04,91.87,S COMMERCIAL INVOICE,USD,7,6742,0,0,0
INVOICE,2007-06-06,51.32,S TAX INVOICE,USD,7,6740,0,0,0
INVOICE,1996-08-14,85.0,S TAX INVOICE,USD,7,10688,0,0,0
INVOICE,1996-03-19,3.68,S TAX INVOICE,USD,7,10836,0,0,0
INVOICE,2000-01-01,47.13,S INVOICE,USD,7,9453,0,0,1
INVOICE,2000-01-01,56.94,S COMMERCIAL INVOICE,USD,7,9453,0,0,1
INVOICE,2015-02-23,83.26,S TAX INVOICE,USD,7,3921,0,0,0
INVOICE,2001-06-23,13.81,S INVOICE,USD,7,8914,0,0,0
INVOICE,2005-10-08,87.49,S INVOICE,USD,7,7346,0,0,0
INVOICE,2000-01-01,78.59,S INVOICE,USD,7,9453,0,0,1
INVOICE,2011-04-26,18.74,S COMMERCIAL INVOICE,USD,7,5320,0,0,0
INVOICE,2022-05-17,37.41,S TAX INVOICE,USD,7,1281,0,0,0
INVOICE,2008-05-14,54.21,S INVOICE,USD,7,6397,0,0,0
INVOICE,2000-01-01,65.73,S TAX INVOICE,USD,7,9453,0,0,1
INVOICE,1994-08-27,29.25,S COMMERCIAL INVOICE,USD,7,11406,0,0,0
INVOICE,2005-12-20,49.24,S COMMERCIAL INVOICE,USD,7,7273,0,0,0
INVOICE,2000-01-01,14.24,S INVOICE,USD,7,9453,0,0,1
INVOICE,2000-01-01,90.36,S INVOICE,USD,7,9453,0,0,1
INVOICE,2008-01-26,79.53,S COMMERCIAL INVOICE,USD,7,6506,0,0,0
INVOICE,2000-01-01,24.12,S INVOICE,USD,7,9453,0,0,1
INVOICE,2003-02-14,96.28,S INVOICE,USD,7,8313,0,0,0
INVOICE,2008-04-22,42.59,S INVOICE,USD,7,6419,0,0,0
INVOICE,2018-04-03,3.05,S INVOICE,USD,7,2786,0,0,0
INVOICE,1997-08-29,26.52,S COMMERCIAL INVOICE,USD,7,10308,0,0,0
INVOICE,2000-01-01,46.38,S COMMERCIAL INVOICE,USD,7,9453,0,0,1
INVOICE,2018-03-27,38.27,S COMMERCIAL INVOICE,USD,7,2793,0,0,0
INVOICE,2000-01-01,41.77,S INVOICE,USD,7,9453,0,0,1
INVOICE,2002-08-17,64.8,S TAX INVOICE,USD,7,8494,0,0,0
INVOICE,2019-06-27,38.7,S TAX INVOICE,USD,7,2336,0,0,0
INVOICE,2011-07-05,58.21,S COMMERCIAL INVOICE,USD,7,5250,0,0,0
INVOICE,2018-03-16,54.34,S TAX INVOICE,USD,7,2804,0,0,0
INVOICE,2021-11-25,80.59,S INVOICE,USD,7,1454,0,0,0
INVOICE,2014-02-01,14.09,S TAX INVOICE,USD,7,4308,0,0,0
INVOICE,2007-09-08,43.94,S INVOICE,USD,7,6646,0,0,0
INVOICE,2000-01-01,2.44,S COMMERCIAL INVOICE,USD,7,9453,0,0,1
INVOICE,2000-01-01,25.36,S TAX INVOICE,USD,7,9453,0,0,1
INVOICE,2021-11-27,98.3,S TAX INVOICE,USD,7,1452,0,0,0
INVOICE,2000-01-01,70.86,S INVOICE,USD,7,9453,0,0,1
INVOICE,1995-08-25,9.14,S INVOICE,USD,7,11043,0,0,0
INVOICE,2010-11-25,9.73,S INVOICE,USD,7,5472,0,0,0
INVOICE,2000-01-01,99.88,S INVOICE,USD,7,9453,0,0,1
INVOICE,2017-06-15,3.25,S COMMERCIAL INVOICE,USD,7,3078,0,0,0
INVOICE,1996-07-10,62.3,S COMMERCIAL INVOICE,USD,7,10723,0,0,0
INVOICE,2008-01-17,52.29,S TAX INVOICE,USD,7,6515,0,0,0
INVOICE,2000-01-01,11.91,S TAX INVOICE,USD,7,9453,0,0,1
